ID_c;Age;Gender;Location;Frequency of Purchases
135;43;Male;Texas;Monthly
136;43;Male;Kansas;Quarterly
137;39;Male;South Carolina;Quarterly
138;68;Male;Colorado;Weekly
139;68;Male;Georgia;Weekly
140;49;Male;Florida;Annually
141;63;Male;North Carolina;Weekly
142;56;Male;Virginia;Weekly
143;37;Male;Nebraska;Fortnightly
144;30;Male;Missouri;Quarterly
145;19;Male;New Jersey;Monthly
146;24;Male;Missouri;Quarterly
147;52;Male;Colorado;Fortnightly
148;63;Male;Idaho;Fortnightly
149;37;Male;Wyoming;Annually
150;38;Male;Delaware;Monthly
151;35;Male;California;Every 3 Months
152;28;Male;North Dakota;Annually
153;30;Male;South Carolina;Annually
154;69;Male;North Carolina;Annually
155;41;Male;Oklahoma;Quarterly
156;63;Male;Maine;Quarterly
157;35;Male;Missouri;Annually
158;36;Male;Vermont;Fortnightly
159;25;Male;Connecticut;Monthly
160;58;Male;New Hampshire;Every 3 Months
161;27;Male;Texas;Monthly
162;65;Male;North Dakota;Fortnightly
163;54;Male;California;Bi-Weekly
164;54;Male;Virginia;Weekly
165;59;Male;Delaware;Fortnightly
166;42;Male;Kentucky;Monthly
167;46;Male;Delaware;Monthly
168;33;Male;Arkansas;Every 3 Months
169;34;Male;Louisiana;Fortnightly
170;27;Male;Nevada;Every 3 Months
171;52;Male;Wyoming;Bi-Weekly
172;29;Male;Virginia;Weekly
173;54;Male;Nebraska;Bi-Weekly
174;25;Male;Hawaii;Annually
175;41;Male;Vermont;Annually
176;53;Male;Oklahoma;Annually
177;53;Male;New Hampshire;Quarterly
178;21;Male;Kansas;Monthly
179;61;Male;Idaho;Quarterly
180;64;Male;Illinois;Fortnightly
181;51;Male;South Dakota;Fortnightly
182;32;Male;Massachusetts;Weekly
183;38;Male;Alabama;Annually
184;58;Male;Ohio;Weekly
185;32;Male;Hawaii;Fortnightly
186;46;Male;Wisconsin;Fortnightly
187;39;Male;Minnesota;Annually
188;19;Male;Georgia;Bi-Weekly
189;50;Male;Arkansas;Bi-Weekly
190;36;Male;West Virginia;Weekly
191;65;Male;Indiana;Quarterly
192;64;Male;Utah;Every 3 Months
193;46;Male;Nebraska;Bi-Weekly
194;36;Male;North Dakota;Annually
195;51;Male;Missouri;Quarterly
196;51;Male;New York;Monthly
197;38;Male;Washington;Fortnightly
198;59;Male;South Carolina;Monthly
199;57;Male;Utah;Fortnightly
200;54;Male;Idaho;Weekly
201;25;Male;Pennsylvania;Monthly
202;69;Male;Missouri;Annually
203;57;Male;Nebraska;Annually
204;70;Male;Indiana;Weekly
205;24;Male;Arizona;Bi-Weekly
206;67;Male;Hawaii;Weekly
207;24;Male;Wisconsin;Fortnightly
208;62;Male;Rhode Island;Bi-Weekly
209;57;Male;Wisconsin;Monthly
210;55;Male;Minnesota;Every 3 Months
211;45;Male;Vermont;Fortnightly
212;69;Male;South Dakota;Fortnightly
213;67;Male;Virginia;Annually
214;30;Male;Nevada;Every 3 Months
215;24;Male;Hawaii;Every 3 Months
216;62;Male;New Jersey;Bi-Weekly
217;43;Male;Massachusetts;Weekly
218;35;Male;Oklahoma;Annually
219;28;Male;California;Quarterly
220;32;Male;Nevada;Fortnightly
221;39;Male;Arizona;Fortnightly
222;28;Male;North Carolina;Quarterly
223;47;Male;New York;Fortnightly
224;20;Male;Wyoming;Annually
225;63;Male;South Dakota;Every 3 Months
226;25;Male;Arkansas;Annually
227;29;Male;Texas;Monthly
228;50;Male;Rhode Island;Fortnightly
229;18;Male;New Hampshire;Annually
230;70;Male;Ohio;Every 3 Months
231;66;Male;Utah;Annually
232;28;Male;Tennessee;Every 3 Months
233;54;Male;Hawaii;Bi-Weekly
234;19;Male;Arizona;Every 3 Months
235;20;Male;South Dakota;Weekly
236;43;Male;New Jersey;Quarterly
237;38;Male;North Dakota;Fortnightly
238;50;Male;Iowa;Fortnightly
239;64;Male;Ohio;Annually
240;49;Male;Vermont;Bi-Weekly
241;47;Male;Montana;Fortnightly
242;36;Male;Delaware;Bi-Weekly
243;55;Male;New York;Every 3 Months
244;25;Male;Kentucky;Monthly
245;53;Male;Oregon;Weekly
246;49;Male;Rhode Island;Fortnightly
247;35;Male;Nevada;Bi-Weekly
248;29;Male;Montana;Weekly
249;47;Male;Pennsylvania;Weekly
250;53;Male;Alaska;Annually
251;33;Male;Mississippi;Weekly
252;21;Male;Wyoming;Annually
253;32;Male;Delaware;Fortnightly
254;52;Male;Oklahoma;Bi-Weekly
255;67;Male;Indiana;Bi-Weekly
256;43;Male;Maryland;Annually
257;58;Male;South Dakota;Every 3 Months
258;20;Male;West Virginia;Quarterly
259;61;Male;Alabama;Quarterly
260;32;Male;Louisiana;Annually
261;38;Male;Montana;Every 3 Months
262;21;Male;California;Annually
263;37;Male;Hawaii;Annually
264;27;Male;Iowa;Monthly
265;36;Male;Colorado;Annually
266;32;Male;Michigan;Bi-Weekly
267;51;Male;Louisiana;Weekly
268;64;Male;Maryland;Annually
269;68;Male;Georgia;Monthly
270;68;Male;Georgia;Bi-Weekly
271;33;Male;North Dakota;Annually
272;65;Male;Maryland;Fortnightly
273;48;Male;Oregon;Bi-Weekly
274;69;Male;North Dakota;Quarterly
275;59;Male;Maryland;Bi-Weekly
276;48;Male;Virginia;Weekly
277;25;Male;South Dakota;Fortnightly
278;29;Male;Georgia;Bi-Weekly
279;57;Male;Hawaii;Annually
280;23;Male;Arkansas;Monthly
281;45;Male;Montana;Bi-Weekly
282;38;Male;Oklahoma;Bi-Weekly
283;21;Male;Minnesota;Monthly
284;32;Male;Montana;Annually
285;63;Male;Ohio;Quarterly
286;29;Male;Kentucky;Bi-Weekly
287;27;Male;Nebraska;Annually
288;56;Male;Delaware;Fortnightly
289;30;Male;North Carolina;Bi-Weekly
290;49;Male;New York;Monthly
291;58;Male;Colorado;Weekly
292;57;Male;Delaware;Monthly
293;60;Male;Utah;Quarterly
294;69;Male;Connecticut;Annually
295;70;Male;New Jersey;Every 3 Months
296;53;Male;West Virginia;Quarterly
297;25;Male;Indiana;Weekly
298;48;Male;Delaware;Bi-Weekly
299;69;Male;Maryland;Every 3 Months
300;25;Male;Pennsylvania;Fortnightly
301;29;Male;Iowa;Weekly
302;46;Male;Pennsylvania;Every 3 Months
303;37;Male;Delaware;Every 3 Months
304;20;Male;Oregon;Weekly
305;40;Male;Oregon;Bi-Weekly
306;60;Male;Utah;Annually
307;26;Male;North Dakota;Annually
308;29;Male;Florida;Every 3 Months
309;66;Male;Maryland;Bi-Weekly
310;66;Male;Minnesota;Fortnightly
311;56;Male;Montana;Fortnightly
312;69;Male;Rhode Island;Monthly
313;38;Male;Massachusetts;Annually
314;42;Male;Vermont;Every 3 Months
315;30;Male;New Jersey;Every 3 Months
316;66;Male;Wisconsin;Annually
317;36;Male;California;Monthly
318;58;Male;West Virginia;Every 3 Months
319;45;Male;South Dakota;Annually
320;47;Male;Maine;Every 3 Months
321;66;Male;Kansas;Quarterly
322;41;Male;Vermont;Quarterly
323;41;Male;Tennessee;Monthly
324;66;Male;Tennessee;Bi-Weekly
325;37;Male;Wyoming;Quarterly
326;70;Male;Vermont;Annually
327;62;Male;New Jersey;Weekly
328;61;Male;Iowa;Weekly
329;48;Male;Florida;Weekly
330;70;Male;Nevada;Monthly
331;46;Male;North Dakota;Bi-Weekly
332;31;Male;Florida;Quarterly
333;19;Male;New York;Monthly
334;39;Male;Alaska;Bi-Weekly
335;41;Male;Kansas;Annually
336;20;Male;Oregon;Every 3 Months
337;36;Male;Rhode Island;Annually
338;32;Male;New Mexico;Annually
339;69;Male;Massachusetts;Weekly
340;40;Male;Pennsylvania;Every 3 Months
341;40;Male;New Jersey;Every 3 Months
342;20;Male;Utah;Bi-Weekly
343;64;Male;Kentucky;Every 3 Months
344;27;Male;Nebraska;Monthly
345;24;Male;Virginia;Monthly
346;48;Male;Wyoming;Annually
347;49;Male;New Mexico;Weekly
348;36;Male;Oregon;Fortnightly
349;56;Male;South Carolina;Fortnightly
350;37;Male;Arizona;Bi-Weekly
351;42;Male;Kentucky;Fortnightly
352;28;Male;New York;Bi-Weekly
353;27;Male;Texas;Every 3 Months
354;63;Male;Missouri;Monthly
355;58;Male;Pennsylvania;Weekly
356;37;Male;Oregon;Every 3 Months
357;56;Male;Nevada;Weekly
358;18;Male;Arkansas;Bi-Weekly
359;48;Male;Minnesota;Every 3 Months
360;31;Male;Georgia;Every 3 Months
361;51;Male;Rhode Island;Fortnightly
362;65;Male;Nevada;Annually
363;53;Male;Texas;Fortnightly
364;55;Male;Florida;Fortnightly
365;62;Male;North Dakota;Every 3 Months
366;55;Male;West Virginia;Quarterly
367;64;Male;Nebraska;Fortnightly
368;52;Male;Tennessee;Monthly
369;24;Male;Oklahoma;Monthly
370;38;Male;Wisconsin;Quarterly
371;59;Male;Oregon;Weekly
372;27;Male;North Carolina;Monthly
373;24;Male;Pennsylvania;Weekly
374;23;Male;North Dakota;Bi-Weekly
375;69;Male;Ohio;Monthly
376;59;Male;Oklahoma;Quarterly
377;51;Male;South Carolina;Bi-Weekly
378;63;Male;Maine;Every 3 Months
379;54;Male;Nevada;Monthly
380;32;Male;Montana;Bi-Weekly
381;39;Male;New Hampshire;Weekly
382;66;Male;Maine;Every 3 Months
383;28;Male;California;Quarterly
384;50;Male;West Virginia;Quarterly
385;70;Male;California;Annually
386;67;Male;West Virginia;Bi-Weekly
387;64;Male;Louisiana;Quarterly
388;45;Male;Georgia;Fortnightly
389;22;Male;Washington;Quarterly
390;27;Male;Virginia;Monthly
391;25;Male;Indiana;Annually
392;37;Male;Minnesota;Fortnightly
393;26;Male;Idaho;Annually
394;33;Male;Vermont;Fortnightly
395;43;Male;North Dakota;Bi-Weekly
396;37;Male;Rhode Island;Annually
397;46;Male;South Carolina;Annually
398;22;Male;Mississippi;Annually
399;20;Male;Montana;Every 3 Months
400;60;Male;Idaho;Monthly
401;39;Male;Utah;Fortnightly
402;43;Male;Oklahoma;Quarterly
403;31;Male;California;Monthly
404;19;Male;Nevada;Annually
405;35;Male;Delaware;Monthly
406;41;Male;South Carolina;Annually
407;52;Male;Maryland;Monthly
408;45;Male;North Carolina;Bi-Weekly
409;34;Male;Alabama;Fortnightly
410;35;Male;Minnesota;Monthly
411;29;Male;Virginia;Quarterly
412;59;Male;Michigan;Annually
413;24;Male;Maine;Weekly
414;70;Male;Nevada;Monthly
415;29;Male;Wyoming;Weekly
416;67;Male;Connecticut;Monthly
417;36;Male;Oregon;Fortnightly
418;23;Male;Mississippi;Quarterly
419;18;Male;Illinois;Bi-Weekly
420;53;Male;Utah;Every 3 Months
421;32;Male;North Carolina;Bi-Weekly
422;38;Male;Kentucky;Bi-Weekly
423;47;Male;Minnesota;Annually
424;46;Male;New York;Bi-Weekly
425;66;Male;Illinois;Fortnightly
426;40;Male;North Dakota;Quarterly
427;43;Male;Louisiana;Quarterly
428;58;Male;Illinois;Quarterly
429;21;Male;Wyoming;Fortnightly
430;42;Male;Washington;Fortnightly
431;24;Male;Texas;Annually
432;43;Male;New Hampshire;Fortnightly
433;47;Male;Indiana;Weekly
434;49;Male;Alabama;Fortnightly
435;50;Male;Oklahoma;Every 3 Months
436;51;Male;Montana;Monthly
437;40;Male;Tennessee;Weekly
438;45;Male;New Mexico;Annually
439;52;Male;Iowa;Fortnightly
440;62;Male;Idaho;Monthly
441;20;Male;Oklahoma;Fortnightly
442;43;Male;Florida;Annually
443;29;Male;Michigan;Quarterly
444;22;Male;Hawaii;Annually
445;48;Male;California;Annually
446;42;Male;Iowa;Annually
447;19;Male;West Virginia;Monthly
448;60;Male;Washington;Every 3 Months
449;32;Male;Missouri;Fortnightly
450;26;Male;New York;Monthly
451;25;Male;Connecticut;Monthly
452;66;Male;Virginia;Fortnightly
453;45;Male;Missouri;Fortnightly
454;54;Male;Nebraska;Weekly
455;37;Male;New Jersey;Bi-Weekly
456;54;Male;Utah;Fortnightly
457;50;Male;North Carolina;Quarterly
458;25;Male;Rhode Island;Every 3 Months
459;47;Male;Arkansas;Monthly
460;63;Male;Maryland;Fortnightly
461;64;Male;South Carolina;Weekly
462;18;Male;Ohio;Weekly
463;59;Male;Illinois;Every 3 Months
464;37;Male;Georgia;Weekly
465;23;Male;Alabama;Monthly
466;54;Male;Oklahoma;Quarterly
467;38;Male;Vermont;Weekly
468;19;Male;Nebraska;Every 3 Months
469;34;Male;Georgia;Quarterly
470;21;Male;Alabama;Bi-Weekly
471;50;Male;Minnesota;Every 3 Months
472;55;Male;Missouri;Quarterly
473;20;Male;Georgia;Quarterly
474;34;Male;West Virginia;Every 3 Months
475;62;Male;Arkansas;Quarterly
476;21;Male;Ohio;Annually
477;21;Male;Connecticut;Fortnightly
478;42;Male;North Dakota;Weekly
479;35;Male;Kansas;Annually
480;39;Male;Iowa;Monthly
481;68;Male;Vermont;Bi-Weekly
482;46;Male;Wisconsin;Fortnightly
483;41;Male;Connecticut;Annually
484;23;Male;Oklahoma;Weekly
485;68;Male;Missouri;Quarterly
486;48;Male;Tennessee;Fortnightly
487;38;Male;New Mexico;Every 3 Months
488;41;Male;Iowa;Quarterly
489;58;Male;Maine;Weekly
490;49;Male;South Dakota;Annually
491;57;Male;Colorado;Monthly
492;49;Male;Vermont;Bi-Weekly
493;50;Male;Michigan;Weekly
494;28;Male;Nevada;Bi-Weekly
495;38;Male;Indiana;Weekly
496;33;Male;Michigan;Fortnightly
497;30;Male;California;Fortnightly
498;43;Male;Oklahoma;Weekly
499;43;Male;Iowa;Monthly
500;36;Male;Rhode Island;Monthly
501;36;Male;Washington;Every 3 Months
502;64;Male;Florida;Annually
503;59;Male;South Carolina;Fortnightly
504;55;Male;West Virginia;Quarterly
505;42;Male;Missouri;Annually
506;61;Male;Maine;Bi-Weekly
507;28;Male;Georgia;Annually
508;65;Male;Maine;Fortnightly
509;27;Male;Illinois;Quarterly
510;41;Male;Delaware;Weekly
511;21;Male;West Virginia;Annually
512;61;Male;Hawaii;Annually
513;19;Male;New York;Monthly
514;22;Male;New Mexico;Annually
515;64;Male;Indiana;Quarterly
516;28;Male;Kentucky;Monthly
517;34;Male;West Virginia;Bi-Weekly
518;61;Male;North Dakota;Every 3 Months
519;24;Male;Oregon;Every 3 Months
520;19;Male;Minnesota;Quarterly
521;51;Male;South Carolina;Quarterly
522;36;Male;Vermont;Annually
523;65;Male;Minnesota;Quarterly
524;46;Male;Delaware;Quarterly
525;59;Male;Pennsylvania;Annually
526;51;Male;Iowa;Monthly
527;51;Male;New Jersey;Monthly
528;21;Male;South Carolina;Every 3 Months
529;34;Male;Maryland;Annually
530;32;Male;California;Monthly
531;48;Male;Montana;Bi-Weekly
532;50;Male;Vermont;Weekly
533;26;Male;Texas;Every 3 Months
534;57;Male;North Carolina;Weekly
535;65;Male;Florida;Quarterly
536;56;Male;West Virginia;Weekly
537;44;Male;Illinois;Every 3 Months
538;50;Male;Virginia;Annually
539;27;Male;Virginia;Weekly
540;49;Male;Wyoming;Weekly
541;49;Male;South Carolina;Every 3 Months
542;52;Male;Connecticut;Bi-Weekly
543;27;Male;Illinois;Bi-Weekly
544;53;Male;Alabama;Monthly
545;34;Male;Washington;Every 3 Months
546;33;Male;Alabama;Annually
547;62;Male;New Mexico;Bi-Weekly
548;38;Male;Nevada;Weekly
549;36;Male;Nebraska;Every 3 Months
550;31;Male;Arizona;Bi-Weekly
551;62;Male;Georgia;Weekly
552;29;Male;Idaho;Bi-Weekly
553;24;Male;Missouri;Weekly
554;63;Male;Florida;Quarterly
555;56;Male;Minnesota;Weekly
556;63;Male;Maine;Annually
557;40;Male;Montana;Fortnightly
558;18;Male;Alaska;Weekly
559;50;Male;Iowa;Every 3 Months
560;66;Male;Arizona;Monthly
561;25;Male;Louisiana;Annually
562;65;Male;Alabama;Fortnightly
563;53;Male;Missouri;Annually
564;61;Male;Idaho;Quarterly
565;67;Male;Florida;Weekly
566;59;Male;Idaho;Weekly
567;55;Male;Alabama;Fortnightly
568;21;Male;New Hampshire;Fortnightly
569;44;Male;Utah;Monthly
570;65;Male;Alabama;Every 3 Months
571;65;Male;Iowa;Annually
572;54;Male;Kentucky;Weekly
573;56;Male;South Carolina;Annually
574;58;Male;California;Bi-Weekly
575;54;Male;Maine;Bi-Weekly
576;58;Male;Nebraska;Monthly
577;48;Male;Washington;Every 3 Months
578;19;Male;Alabama;Annually
579;69;Male;Maine;Fortnightly
580;58;Male;California;Annually
581;49;Male;Iowa;Weekly
582;32;Male;Iowa;Every 3 Months
583;40;Male;Colorado;Quarterly
584;25;Male;California;Monthly
585;70;Male;Indiana;Monthly
586;69;Male;South Carolina;Every 3 Months
587;45;Male;Wisconsin;Annually
588;29;Male;Washington;Every 3 Months
589;47;Male;South Dakota;Quarterly
590;28;Male;Minnesota;Annually
591;64;Male;Alaska;Fortnightly
592;47;Male;Kentucky;Bi-Weekly
593;60;Male;North Dakota;Every 3 Months
594;67;Male;Alaska;Every 3 Months
595;35;Male;Oklahoma;Monthly
596;30;Male;Delaware;Quarterly
597;23;Male;Montana;Annually
598;70;Male;Alaska;Fortnightly
599;21;Male;California;Every 3 Months
600;51;Male;Massachusetts;Every 3 Months
601;22;Male;South Carolina;Monthly
602;32;Male;West Virginia;Fortnightly
603;37;Male;Oregon;Every 3 Months
604;31;Male;Massachusetts;Every 3 Months
605;44;Male;West Virginia;Every 3 Months
606;40;Male;California;Weekly
607;27;Male;Colorado;Monthly
608;47;Male;Indiana;Monthly
609;41;Male;Delaware;Every 3 Months
610;51;Male;Ohio;Fortnightly
611;53;Male;Oklahoma;Every 3 Months
612;43;Male;California;Monthly
613;67;Male;New Hampshire;Quarterly
614;61;Male;Pennsylvania;Bi-Weekly
615;68;Male;Idaho;Bi-Weekly
616;67;Male;Maryland;Annually
617;29;Male;Pennsylvania;Every 3 Months
618;50;Male;Colorado;Quarterly
619;61;Male;Indiana;Bi-Weekly
620;19;Male;Nebraska;Every 3 Months
621;33;Male;Rhode Island;Every 3 Months
622;51;Male;Kansas;Weekly
623;69;Male;Georgia;Fortnightly
624;19;Male;Nevada;Bi-Weekly
625;55;Male;South Carolina;Annually
626;49;Male;Delaware;Weekly
627;31;Male;New Hampshire;Annually
628;42;Male;Oregon;Monthly
629;69;Male;Massachusetts;Monthly
630;26;Male;Vermont;Annually
631;41;Male;Mississippi;Annually
632;55;Male;Washington;Fortnightly
633;35;Male;Wyoming;Fortnightly
634;66;Male;Minnesota;Quarterly
635;36;Male;Ohio;Weekly
636;27;Male;South Carolina;Quarterly
637;41;Male;Wisconsin;Every 3 Months
638;21;Male;Tennessee;Fortnightly
639;53;Male;Maryland;Monthly
640;54;Male;Mississippi;Annually
641;53;Male;Minnesota;Fortnightly
642;47;Male;Alaska;Every 3 Months
643;64;Male;Arkansas;Bi-Weekly
644;18;Male;Oregon;Every 3 Months
645;68;Male;Louisiana;Weekly
646;62;Male;Oklahoma;Bi-Weekly
647;51;Male;Indiana;Bi-Weekly
648;54;Male;Mississippi;Fortnightly
649;22;Male;Michigan;Weekly
650;53;Male;Delaware;Every 3 Months
651;34;Male;Florida;Annually
652;32;Male;Arkansas;Fortnightly
653;64;Male;Minnesota;Weekly
654;20;Male;North Dakota;Fortnightly
655;24;Male;California;Annually
656;20;Male;Mississippi;Monthly
657;42;Male;Pennsylvania;Quarterly
658;48;Male;Arizona;Quarterly
659;62;Male;Louisiana;Weekly
660;62;Male;Virginia;Weekly
661;50;Male;Montana;Quarterly
662;57;Male;Iowa;Quarterly
663;24;Male;Illinois;Bi-Weekly
664;59;Male;Alaska;Monthly
665;63;Male;Colorado;Bi-Weekly
666;41;Male;New Mexico;Annually
667;35;Male;Colorado;Quarterly
668;34;Male;Arizona;Quarterly
669;49;Male;Hawaii;Monthly
670;43;Male;Illinois;Bi-Weekly
671;63;Male;Louisiana;Bi-Weekly
672;38;Male;Iowa;Weekly
673;59;Male;Washington;Quarterly
674;35;Male;Oklahoma;Bi-Weekly
675;48;Male;Washington;Annually
676;64;Male;Arkansas;Annually
677;28;Male;Connecticut;Bi-Weekly
678;60;Male;Washington;Annually
679;27;Male;Maine;Every 3 Months
680;56;Male;Michigan;Fortnightly
681;58;Male;Tennessee;Annually
682;30;Male;Louisiana;Every 3 Months
683;23;Male;Missouri;Bi-Weekly
684;33;Male;Michigan;Monthly
685;63;Male;Alabama;Monthly
686;70;Male;Massachusetts;Fortnightly
687;70;Male;Indiana;Fortnightly
688;19;Male;West Virginia;Quarterly
689;25;Male;Michigan;Monthly
690;19;Male;Pennsylvania;Every 3 Months
691;25;Male;Alaska;Weekly
692;60;Male;Massachusetts;Bi-Weekly
693;35;Male;North Dakota;Every 3 Months
694;46;Male;Vermont;Every 3 Months
695;41;Male;Kentucky;Every 3 Months
696;30;Male;Nevada;Every 3 Months
697;44;Male;Utah;Monthly
698;61;Male;North Dakota;Quarterly
699;55;Male;Iowa;Weekly
700;50;Male;Connecticut;Weekly
701;57;Male;Wisconsin;Monthly
702;51;Male;Idaho;Every 3 Months
703;18;Male;Montana;Weekly
704;63;Male;Connecticut;Weekly
705;34;Male;Idaho;Annually
706;25;Male;Arkansas;Quarterly
707;46;Male;Iowa;Weekly
708;59;Male;Louisiana;Annually
709;37;Male;Kentucky;Fortnightly
710;49;Male;Massachusetts;Monthly
711;22;Male;Virginia;Fortnightly
712;64;Male;New Hampshire;Bi-Weekly
713;42;Male;New Hampshire;Quarterly
714;37;Male;Oregon;Bi-Weekly
715;26;Male;South Dakota;Fortnightly
716;33;Male;Delaware;Quarterly
717;30;Male;Missouri;Bi-Weekly
718;21;Male;Alaska;Every 3 Months
719;22;Male;Florida;Annually
720;63;Male;Mississippi;Bi-Weekly
721;33;Male;New Mexico;Weekly
722;43;Male;California;Every 3 Months
723;27;Male;Wyoming;Bi-Weekly
724;35;Male;Missouri;Monthly
725;37;Male;New Hampshire;Every 3 Months
726;61;Male;Texas;Fortnightly
727;32;Male;North Dakota;Every 3 Months
728;62;Male;Arkansas;Every 3 Months
729;29;Male;Nebraska;Every 3 Months
730;41;Male;Minnesota;Every 3 Months
731;48;Male;Massachusetts;Fortnightly
732;43;Male;Arkansas;Fortnightly
733;34;Male;New Hampshire;Bi-Weekly
734;45;Male;Rhode Island;Bi-Weekly
735;65;Male;New Jersey;Every 3 Months
736;61;Male;Montana;Bi-Weekly
737;18;Male;Colorado;Every 3 Months
738;47;Male;Nebraska;Annually
739;56;Male;Minnesota;Quarterly
740;64;Male;Minnesota;Bi-Weekly
741;26;Male;South Dakota;Fortnightly
742;22;Male;West Virginia;Every 3 Months
743;64;Male;Nevada;Quarterly
744;21;Male;North Carolina;Weekly
745;67;Male;Illinois;Bi-Weekly
746;46;Male;Michigan;Monthly
747;40;Male;Michigan;Annually
748;51;Male;Oklahoma;Weekly
749;35;Male;South Dakota;Quarterly
750;56;Male;Oklahoma;Quarterly
