user_id;id_p;Quantity;Time stamp;Size;Review Rating;Subscription Status;Shipping Type;Discount Applied;Promo Code Used;Payment Method
3793;9338;16;24/11/2023;XL;2.9;Yes;2-Day Shipping;Yes;Yes;PayPal
2462;9891;11;25/11/2023;L;2.9;Yes;Store Pickup;Yes;Yes;Cash
3766;2907;20;26/11/2023;M;4.5;Yes;Free Shipping;Yes;Yes;Cash
121;2181;1;27/11/2023;M;2.7;Yes;Store Pickup;Yes;Yes;Cash
738;4859;4;28/11/2023;S;4.6;Yes;Next Day Air;Yes;Yes;Debit Card
2461;7551;17;29/11/2023;M;3.7;Yes;Store Pickup;Yes;Yes;Debit Card
700;525;14;30/11/2023;XL;4.7;Yes;2-Day Shipping;Yes;Yes;Credit Card
51;8416;13;01/12/2023;M;2.6;Yes;Free Shipping;Yes;Yes;Credit Card
3338;7585;7;02/12/2023;S;3.9;Yes;Next Day Air;Yes;Yes;Credit Card
2804;1814;14;03/12/2023;M;4.2;Yes;Next Day Air;Yes;Yes;Debit Card
3599;2826;4;04/12/2023;M;3;Yes;2-Day Shipping;Yes;Yes;Credit Card
109;3320;1;05/12/2023;XL;4.7;Yes;Store Pickup;Yes;Yes;Credit Card
1382;2448;1;06/12/2023;M;4.4;Yes;Store Pickup;Yes;Yes;Debit Card
2321;5269;1;07/12/2023;M;4.2;Yes;Free Shipping;Yes;Yes;Venmo
814;5838;14;08/12/2023;L;4.6;Yes;Standard;Yes;Yes;Debit Card
295;424;18;09/12/2023;L;4;Yes;Express;Yes;Yes;Cash
2441;2363;16;10/12/2023;M;4.7;Yes;Store Pickup;Yes;Yes;Credit Card
3088;8178;13;11/12/2023;S;3.8;Yes;Free Shipping;Yes;Yes;Credit Card
2045;4018;17;12/12/2023;L;2.7;Yes;2-Day Shipping;Yes;Yes;Credit Card
1527;2282;8;13/12/2023;S;4.8;Yes;Standard;Yes;Yes;Debit Card
3182;6760;9;14/12/2023;M;4.8;Yes;2-Day Shipping;Yes;Yes;Venmo
2283;414;1;15/12/2023;S;4.7;Yes;2-Day Shipping;Yes;Yes;Venmo
3838;2570;17;16/12/2023;L;4.4;Yes;Store Pickup;Yes;Yes;Debit Card
1594;1494;4;17/12/2023;L;3.9;Yes;Next Day Air;Yes;Yes;Cash
1894;7954;9;18/12/2023;S;4.4;Yes;Express;Yes;Yes;Cash
3602;1226;15;19/12/2023;M;4.2;Yes;Express;Yes;Yes;Debit Card
3427;5465;18;20/12/2023;L;2.9;Yes;Express;Yes;Yes;Bank Transfer
2251;8337;11;21/12/2023;M;2.9;Yes;Store Pickup;Yes;Yes;Bank Transfer
2211;4617;4;22/12/2023;M;2.7;Yes;Free Shipping;Yes;Yes;Bank Transfer
3045;3072;3;23/12/2023;L;4.5;Yes;Express;Yes;Yes;Cash
493;5435;16;24/12/2023;M;2.7;Yes;Free Shipping;Yes;Yes;Credit Card
2163;2771;18;25/12/2023;S;4.2;Yes;Free Shipping;Yes;Yes;Venmo
146;134;9;26/12/2023;L;3.3;Yes;Next Day Air;Yes;Yes;Debit Card
3712;7040;4;27/12/2023;M;4.7;Yes;Free Shipping;Yes;Yes;Venmo
1266;4909;6;28/12/2023;M;2.6;Yes;2-Day Shipping;Yes;Yes;Bank Transfer
2335;1549;1;01/01/2023;XL;3.3;Yes;Store Pickup;Yes;Yes;Credit Card
3455;2859;20;28/12/2022;L;2.6;Yes;Express;Yes;Yes;Credit Card
2425;5078;4;29/12/2022;S;4;Yes;2-Day Shipping;Yes;Yes;Credit Card
1988;3887;10;30/12/2022;M;4.1;Yes;Standard;Yes;Yes;Bank Transfer
1945;8683;10;31/12/2022;S;4.4;Yes;Standard;Yes;Yes;Bank Transfer
1364;5664;19;01/01/2023;M;4.5;Yes;Next Day Air;Yes;Yes;Debit Card
2441;3196;14;02/01/2023;L;3.7;Yes;2-Day Shipping;Yes;Yes;Cash
2287;8395;14;03/01/2023;M;3.7;Yes;2-Day Shipping;Yes;Yes;Debit Card
1277;8957;1;04/01/2023;M;3.5;Yes;Free Shipping;Yes;Yes;Credit Card
3038;2258;15;05/01/2023;XL;3.6;Yes;Next Day Air;Yes;Yes;Cash
2022;6339;14;06/01/2023;L;2.9;Yes;Express;Yes;Yes;Credit Card
2820;5763;17;07/01/2023;S;4.6;Yes;Standard;Yes;Yes;Credit Card
3198;7459;17;08/01/2023;M;4.4;Yes;2-Day Shipping;Yes;Yes;Venmo
2194;5071;2;09/01/2023;M;4.5;Yes;Standard;Yes;Yes;Credit Card
1284;6290;10;10/01/2023;S;4.6;Yes;Free Shipping;Yes;Yes;Credit Card
1139;4555;12;11/01/2023;L;3.8;Yes;Free Shipping;Yes;Yes;PayPal
3829;2394;11;12/01/2023;S;3.6;Yes;Express;Yes;Yes;Venmo
2264;7448;2;13/01/2023;M;4.8;Yes;Store Pickup;Yes;Yes;Cash
1340;4170;1;14/01/2023;XL;2.6;Yes;Next Day Air;Yes;Yes;Bank Transfer
1504;644;14;15/01/2023;XL;3.7;Yes;Express;Yes;Yes;Debit Card
484;2677;16;16/01/2023;M;2.7;Yes;Express;Yes;Yes;Cash
342;6983;7;17/01/2023;XL;4.6;Yes;Express;Yes;Yes;Credit Card
346;5721;1;18/01/2023;L;4.8;Yes;Next Day Air;Yes;Yes;Credit Card
2495;3076;15;19/01/2023;L;4;Yes;Next Day Air;Yes;Yes;Venmo
468;2447;11;20/01/2023;L;4.4;Yes;2-Day Shipping;Yes;Yes;PayPal
2;7612;7;21/01/2023;M;3.6;Yes;Next Day Air;Yes;Yes;Bank Transfer
1746;1548;20;22/01/2023;L;3.7;Yes;Standard;Yes;Yes;Credit Card
2311;860;17;23/01/2023;L;3.1;Yes;Next Day Air;Yes;Yes;PayPal
1074;1494;15;24/01/2023;L;3.4;Yes;Next Day Air;Yes;Yes;Bank Transfer
1614;9108;11;10/10/2023;M;2.6;Yes;Next Day Air;Yes;Yes;Bank Transfer
476;776;10;11/10/2023;M;4;Yes;Standard;Yes;Yes;Venmo
1262;6710;9;12/10/2023;L;5;Yes;Free Shipping;Yes;Yes;Credit Card
759;5261;14;13/10/2023;M;4.3;Yes;Free Shipping;Yes;Yes;PayPal
2494;7789;10;14/10/2023;L;3.1;Yes;Next Day Air;Yes;Yes;PayPal
1287;7047;2;15/10/2023;S;3.7;Yes;Store Pickup;Yes;Yes;Cash
3550;10001;11;16/10/2023;M;3.8;Yes;Standard;Yes;Yes;Debit Card
751;6050;1;17/10/2023;S;3.4;Yes;Free Shipping;Yes;Yes;Venmo
1368;4549;14;18/10/2023;L;4.6;Yes;Express;Yes;Yes;Cash
94;9428;13;19/10/2023;L;4.8;Yes;2-Day Shipping;Yes;Yes;Cash
3795;4581;7;20/10/2023;M;4.3;Yes;Express;Yes;Yes;Cash
357;5475;2;21/10/2023;L;4;Yes;Express;Yes;Yes;Bank Transfer
297;521;3;22/10/2023;M;4.2;Yes;Standard;Yes;Yes;Cash
171;9087;5;23/10/2023;L;4.8;Yes;2-Day Shipping;Yes;Yes;Cash
3449;3188;8;24/10/2023;L;3.1;Yes;Free Shipping;Yes;Yes;Cash
2038;2963;18;25/10/2023;M;3.1;Yes;Next Day Air;Yes;Yes;PayPal
3033;8295;15;26/10/2023;M;3.6;Yes;Next Day Air;Yes;Yes;Venmo
3588;2248;8;27/10/2023;L;3.9;Yes;Store Pickup;Yes;Yes;Cash
343;1081;15;28/10/2023;M;4.8;Yes;Next Day Air;Yes;Yes;Credit Card
1866;3085;3;29/10/2023;M;4.7;Yes;Standard;Yes;Yes;Credit Card
192;6056;10;30/10/2023;XL;4.2;Yes;2-Day Shipping;Yes;Yes;PayPal
31;5210;8;31/10/2023;L;3.7;Yes;Next Day Air;Yes;Yes;PayPal
3760;3724;7;01/11/2023;L;3.9;Yes;Standard;Yes;Yes;Credit Card
2724;6764;4;02/11/2023;M;4.7;Yes;2-Day Shipping;Yes;Yes;PayPal
1518;1243;9;03/11/2023;M;2.5;Yes;Next Day Air;Yes;Yes;Venmo
3557;7412;11;04/11/2023;L;4.9;Yes;Store Pickup;Yes;Yes;Cash
1166;593;8;05/11/2023;M;4.1;Yes;Express;Yes;Yes;PayPal
111;3991;15;06/11/2023;M;3.3;Yes;Free Shipping;Yes;Yes;Debit Card
3219;8795;5;07/11/2023;M;4.7;Yes;Free Shipping;Yes;Yes;PayPal
2680;2949;3;08/11/2023;M;4.4;Yes;Store Pickup;Yes;Yes;Bank Transfer
1807;9055;17;09/11/2023;M;3.8;Yes;Store Pickup;Yes;Yes;Venmo
1812;1738;10;10/11/2023;L;3.9;Yes;2-Day Shipping;Yes;Yes;Credit Card
925;8313;8;11/11/2023;M;4.9;Yes;Free Shipping;Yes;Yes;PayPal
232;4768;9;12/11/2023;L;3.1;Yes;Free Shipping;Yes;Yes;Credit Card
569;8454;10;13/11/2023;M;2.7;Yes;Store Pickup;Yes;Yes;PayPal
1310;7085;7;14/11/2023;M;3.2;Yes;Express;Yes;Yes;Cash
2168;3345;4;15/11/2023;M;4.5;Yes;Standard;Yes;Yes;Debit Card
887;6574;4;16/11/2023;S;4;Yes;Standard;Yes;Yes;Venmo
2241;5101;9;17/11/2023;M;3.5;Yes;2-Day Shipping;Yes;Yes;Bank Transfer
3694;2412;11;18/11/2023;M;2.6;Yes;Store Pickup;Yes;Yes;Debit Card
8;68;6;19/11/2023;M;3.2;Yes;Free Shipping;Yes;Yes;PayPal
1086;6908;20;20/11/2023;L;4.9;Yes;Standard;Yes;Yes;Debit Card
2705;1093;7;21/11/2023;L;4.5;Yes;Next Day Air;Yes;Yes;Venmo
1098;8757;7;22/11/2023;S;4.3;Yes;Express;Yes;Yes;Venmo
1945;8110;2;23/11/2023;M;3.2;Yes;Standard;Yes;Yes;Debit Card
905;5007;4;24/11/2023;M;3.6;Yes;Next Day Air;Yes;Yes;Venmo
3064;4262;7;25/11/2023;S;4.3;Yes;Free Shipping;Yes;Yes;Bank Transfer
3528;5646;20;26/11/2023;M;4;Yes;Standard;Yes;Yes;Debit Card
2685;7351;12;27/11/2023;S;3;Yes;Next Day Air;Yes;Yes;Bank Transfer
1338;4433;8;28/11/2023;XL;4.1;Yes;Standard;Yes;Yes;Bank Transfer
1599;1047;15;29/11/2023;M;3.8;Yes;Store Pickup;Yes;Yes;Bank Transfer
3670;2138;18;30/11/2023;M;4.6;Yes;Free Shipping;Yes;Yes;Venmo
3800;8710;15;01/12/2023;M;3;Yes;Express;Yes;Yes;Venmo
3897;6265;9;02/12/2023;M;3;Yes;Store Pickup;Yes;Yes;PayPal
1675;9517;19;03/12/2023;M;3.4;Yes;Standard;Yes;Yes;Debit Card
3446;912;11;04/12/2023;S;2.6;Yes;Free Shipping;Yes;Yes;Credit Card
1142;7807;19;05/12/2023;S;2.8;Yes;Store Pickup;Yes;Yes;Cash
822;4856;12;06/12/2023;XL;4;Yes;Store Pickup;Yes;Yes;Cash
3884;725;13;07/12/2023;M;4;Yes;Express;Yes;Yes;Credit Card
3697;2355;14;08/12/2023;M;3;Yes;Express;Yes;Yes;Cash
227;9238;9;09/12/2023;S;3.3;Yes;Standard;Yes;Yes;PayPal
1572;8259;18;10/12/2023;M;2.6;Yes;Store Pickup;Yes;Yes;Venmo
3565;3598;18;11/12/2023;M;3.6;Yes;Store Pickup;Yes;Yes;Credit Card
3346;7988;12;12/12/2023;M;3.9;Yes;Next Day Air;Yes;Yes;Credit Card
1193;9586;17;13/12/2023;M;3.4;Yes;Standard;Yes;Yes;Cash
3647;9636;15;14/12/2023;L;3.5;Yes;Express;Yes;Yes;Venmo
3044;4763;12;15/12/2023;L;2.8;Yes;Next Day Air;Yes;Yes;Bank Transfer
2232;4921;13;16/12/2023;L;2.7;Yes;Next Day Air;Yes;Yes;Credit Card
2105;1463;10;17/12/2023;L;3.7;Yes;Next Day Air;Yes;Yes;Bank Transfer
706;7841;14;18/12/2023;L;4.3;Yes;2-Day Shipping;Yes;Yes;PayPal
3235;5988;11;19/12/2023;M;4.9;Yes;Store Pickup;Yes;Yes;Bank Transfer
462;4776;11;20/12/2023;L;3.3;Yes;Store Pickup;Yes;Yes;Debit Card
1558;7889;19;21/12/2023;M;4.7;Yes;Next Day Air;Yes;Yes;Bank Transfer
2575;8914;14;22/12/2023;XL;2.8;Yes;Store Pickup;Yes;Yes;Debit Card
732;7828;19;23/12/2023;XL;3.6;Yes;2-Day Shipping;Yes;Yes;Credit Card
3524;5333;17;24/12/2023;L;3;Yes;Express;Yes;Yes;Cash
3848;5567;10;25/12/2023;XL;4.5;Yes;Store Pickup;Yes;Yes;Bank Transfer
1709;7617;13;26/12/2023;S;2.9;Yes;Standard;Yes;Yes;Debit Card
621;8686;18;27/12/2023;S;3.3;Yes;Store Pickup;Yes;Yes;Bank Transfer
3280;9485;7;28/12/2023;M;3.1;Yes;Express;Yes;Yes;Bank Transfer
475;7109;14;01/01/2023;M;4.4;Yes;Next Day Air;Yes;Yes;Credit Card
2252;416;7;28/12/2022;XL;3;Yes;Free Shipping;Yes;Yes;Venmo
1589;5517;14;29/12/2022;M;3.9;Yes;Free Shipping;Yes;Yes;Cash
2199;8732;15;30/12/2022;L;2.9;Yes;Express;Yes;Yes;PayPal
76;8096;11;31/12/2022;S;3;Yes;Standard;Yes;Yes;Venmo
3484;9361;4;01/01/2023;M;3.1;Yes;Express;Yes;Yes;Debit Card
2867;8395;13;02/01/2023;M;4.3;Yes;Free Shipping;Yes;Yes;Credit Card
1397;2163;4;03/01/2023;M;3.9;Yes;Next Day Air;Yes;Yes;Credit Card
2026;8457;4;04/01/2023;M;3.2;Yes;2-Day Shipping;Yes;Yes;Credit Card
1553;8418;18;05/01/2023;M;4.8;Yes;Standard;Yes;Yes;Credit Card
1251;7925;6;06/01/2023;XL;3.8;Yes;Express;Yes;Yes;Cash
1376;2312;13;07/01/2023;S;3.3;Yes;Next Day Air;Yes;Yes;Venmo
3190;8026;6;08/01/2023;S;4.3;Yes;Free Shipping;Yes;Yes;Bank Transfer
1511;558;19;09/01/2023;L;2.7;Yes;Express;Yes;Yes;Venmo
2674;6057;6;10/01/2023;S;3.2;Yes;Next Day Air;Yes;Yes;Bank Transfer
479;8066;14;11/01/2023;M;4;Yes;Store Pickup;Yes;Yes;Cash
3388;486;17;12/01/2023;M;3;Yes;Standard;Yes;Yes;PayPal
1705;8997;10;13/01/2023;L;4.2;Yes;Free Shipping;Yes;Yes;Venmo
291;3989;17;14/01/2023;M;2.9;Yes;Express;Yes;Yes;Bank Transfer
1780;514;6;15/01/2023;M;4.1;Yes;Store Pickup;Yes;Yes;Credit Card
2450;6313;5;16/01/2023;S;3.2;Yes;Store Pickup;Yes;Yes;Cash
594;5148;1;17/01/2023;L;3;Yes;2-Day Shipping;Yes;Yes;PayPal
2337;8756;13;18/01/2023;L;4.2;Yes;2-Day Shipping;Yes;Yes;Debit Card
3663;783;7;19/01/2023;L;4.2;Yes;Express;Yes;Yes;Debit Card
795;691;10;20/01/2023;L;4.4;Yes;Store Pickup;Yes;Yes;Debit Card
1376;760;11;21/01/2023;L;4.2;Yes;Next Day Air;Yes;Yes;Cash
2328;1591;19;22/01/2023;S;2.8;Yes;2-Day Shipping;Yes;Yes;PayPal
1291;1067;15;23/01/2023;L;3.7;Yes;Free Shipping;Yes;Yes;Venmo
1299;9432;12;24/01/2023;M;3.5;Yes;Next Day Air;Yes;Yes;Bank Transfer
3425;3467;14;25/01/2023;S;2.9;Yes;Store Pickup;Yes;Yes;Credit Card
984;8822;4;26/01/2023;M;3;Yes;Free Shipping;Yes;Yes;Cash
806;7121;1;27/01/2023;S;3.7;Yes;Express;Yes;Yes;Debit Card
384;6421;9;28/01/2023;XL;4.4;Yes;Store Pickup;Yes;Yes;Bank Transfer
2483;26;3;29/01/2023;XL;4.5;Yes;2-Day Shipping;Yes;Yes;PayPal
3569;4999;11;30/01/2023;M;4.8;Yes;Free Shipping;Yes;Yes;PayPal
866;4100;13;31/01/2023;S;2.9;Yes;Free Shipping;Yes;Yes;Cash
2242;8133;6;01/02/2023;M;3.2;Yes;Next Day Air;Yes;Yes;Bank Transfer
1608;7322;16;02/02/2023;L;3.3;Yes;Free Shipping;Yes;Yes;PayPal
2633;8897;15;03/02/2023;M;4.2;Yes;Standard;Yes;Yes;Venmo
3261;3884;17;04/02/2023;M;2.9;Yes;Store Pickup;Yes;Yes;Credit Card
1123;7498;10;05/02/2023;S;4.6;Yes;Next Day Air;Yes;Yes;PayPal
3105;1936;8;06/02/2023;L;4.1;Yes;Standard;Yes;Yes;Credit Card
2693;5507;13;07/02/2023;M;3.1;Yes;2-Day Shipping;Yes;Yes;Debit Card
930;1127;3;08/02/2023;L;4.2;Yes;Express;Yes;Yes;Bank Transfer
1194;1449;3;09/02/2023;XL;4.5;Yes;Next Day Air;Yes;Yes;Bank Transfer
1295;382;4;10/02/2023;S;3.7;Yes;Next Day Air;Yes;Yes;Credit Card
1077;7675;4;11/02/2023;M;3.7;Yes;Free Shipping;Yes;Yes;Debit Card
2496;3844;5;12/02/2023;L;3.4;Yes;Next Day Air;Yes;Yes;PayPal
559;5337;15;13/02/2023;M;3;Yes;Store Pickup;Yes;Yes;Debit Card
756;383;17;14/02/2023;M;4.2;Yes;Free Shipping;Yes;Yes;Cash
131;1994;6;15/02/2023;L;2.9;Yes;Express;Yes;Yes;Credit Card
3538;6440;9;16/02/2023;XL;3.5;Yes;Free Shipping;Yes;Yes;Bank Transfer
246;8403;2;17/02/2023;M;4.1;Yes;Free Shipping;Yes;Yes;Venmo
3218;6787;14;18/02/2023;L;4.3;Yes;Store Pickup;Yes;Yes;Debit Card
2387;7755;8;19/02/2023;M;2.8;Yes;2-Day Shipping;Yes;Yes;Debit Card
2278;4026;6;20/02/2023;S;4.9;Yes;2-Day Shipping;Yes;Yes;PayPal
699;98;20;21/02/2023;L;3.3;Yes;Next Day Air;Yes;Yes;Venmo
901;9972;1;22/02/2023;XL;3.2;Yes;Express;Yes;Yes;Venmo
620;9411;7;23/02/2023;XL;4.4;Yes;Standard;Yes;Yes;Debit Card
135;3922;10;24/02/2023;M;4.8;Yes;Express;Yes;Yes;PayPal
1935;8063;11;25/02/2023;S;4.2;Yes;Standard;Yes;Yes;Credit Card
254;7804;13;26/02/2023;L;4;Yes;Express;Yes;Yes;Bank Transfer
1955;9350;14;27/02/2023;XL;2.5;Yes;Standard;Yes;Yes;PayPal
388;5235;5;28/02/2023;M;3.9;Yes;Free Shipping;Yes;Yes;Venmo
412;583;9;01/03/2023;L;4.9;Yes;2-Day Shipping;Yes;Yes;Bank Transfer
3707;1746;11;02/03/2023;M;3.5;Yes;Store Pickup;Yes;Yes;PayPal
1706;1377;3;03/03/2023;M;4.2;Yes;Free Shipping;Yes;Yes;Debit Card
1747;1892;10;04/03/2023;XL;4.7;Yes;Express;Yes;Yes;Credit Card
1792;3868;7;05/03/2023;M;4.5;Yes;Express;Yes;Yes;Credit Card
2322;2912;20;06/03/2023;S;2.8;Yes;Express;Yes;Yes;Cash
287;4827;18;07/03/2023;M;2.9;Yes;Standard;Yes;Yes;Debit Card
3019;5145;20;08/03/2023;S;3.2;Yes;2-Day Shipping;Yes;Yes;Credit Card
519;617;7;09/03/2023;L;4.9;Yes;Standard;Yes;Yes;Credit Card
1167;6190;5;10/03/2023;M;3.7;Yes;Next Day Air;Yes;Yes;Debit Card
492;4941;17;11/03/2023;M;4.3;Yes;Store Pickup;Yes;Yes;Venmo
1390;865;7;12/03/2023;S;3.9;Yes;Store Pickup;Yes;Yes;Cash
1082;2795;13;13/03/2023;M;3.2;Yes;2-Day Shipping;Yes;Yes;Bank Transfer
3489;5304;6;14/03/2023;L;3.1;Yes;Express;Yes;Yes;Credit Card
1652;9565;14;15/03/2023;M;3.9;Yes;2-Day Shipping;Yes;Yes;Venmo
2763;4926;2;16/03/2023;M;2.6;Yes;Store Pickup;Yes;Yes;Cash
1140;8404;19;17/03/2023;M;3.3;Yes;Next Day Air;Yes;Yes;Cash
3779;2080;20;18/03/2023;XL;4.6;Yes;Free Shipping;Yes;Yes;Bank Transfer
3146;3148;10;19/03/2023;XL;4.6;Yes;Express;Yes;Yes;Credit Card
3866;565;7;20/03/2023;M;4.4;Yes;2-Day Shipping;Yes;Yes;Debit Card
2560;9191;1;21/03/2023;S;4.2;Yes;Express;Yes;Yes;Debit Card
2549;4360;13;22/03/2023;M;3;Yes;Express;Yes;Yes;Cash
871;1421;7;23/03/2023;XL;4;Yes;Express;Yes;Yes;Credit Card
3414;5961;9;24/03/2023;XL;3.5;Yes;Express;Yes;Yes;Bank Transfer
370;2288;14;25/03/2023;M;3;Yes;Store Pickup;Yes;Yes;Bank Transfer
162;2940;5;26/03/2023;M;3.7;Yes;Express;Yes;Yes;Debit Card
1047;4009;11;27/03/2023;L;4;Yes;Standard;Yes;Yes;Bank Transfer
693;2269;9;28/03/2023;S;4.2;Yes;2-Day Shipping;Yes;Yes;Cash
2225;176;8;29/03/2023;XL;2.5;Yes;Standard;Yes;Yes;Debit Card
2014;7405;15;30/03/2023;M;3;Yes;2-Day Shipping;Yes;Yes;Cash
739;9022;20;31/03/2023;S;3.2;Yes;Next Day Air;Yes;Yes;Venmo
2286;5591;12;01/04/2023;M;3.5;Yes;Standard;Yes;Yes;PayPal
268;8633;17;02/04/2023;XL;4.8;Yes;Express;Yes;Yes;Debit Card
3338;9161;14;03/04/2023;L;2.6;Yes;Store Pickup;Yes;Yes;Debit Card
3843;1591;2;04/04/2023;L;3.4;Yes;2-Day Shipping;Yes;Yes;Venmo
936;1771;18;05/04/2023;M;3.7;Yes;2-Day Shipping;Yes;Yes;Venmo
1062;5734;11;06/04/2023;M;4.5;Yes;2-Day Shipping;Yes;Yes;Credit Card
2837;7589;2;07/04/2023;M;3.7;Yes;Standard;Yes;Yes;PayPal
374;4473;2;08/04/2023;XL;3.3;Yes;Next Day Air;Yes;Yes;Bank Transfer
233;8446;4;09/04/2023;M;4.7;Yes;Free Shipping;Yes;Yes;Cash
1001;7127;8;10/04/2023;M;2.7;Yes;Express;Yes;Yes;PayPal
122;3371;2;11/04/2023;M;4.6;Yes;Store Pickup;Yes;Yes;Credit Card
3540;6485;17;12/04/2023;M;2.7;Yes;Store Pickup;Yes;Yes;Credit Card
3398;2232;9;13/04/2023;S;4.8;Yes;2-Day Shipping;Yes;Yes;Credit Card
2674;1683;11;14/04/2023;XL;4.4;Yes;Standard;Yes;Yes;Credit Card
3250;6118;11;15/04/2023;M;4;Yes;Standard;Yes;Yes;Venmo
3037;184;12;16/04/2023;M;3.2;Yes;Next Day Air;Yes;Yes;PayPal
3145;3490;13;17/04/2023;M;4.4;Yes;Store Pickup;Yes;Yes;PayPal
3884;4625;20;18/04/2023;M;3.8;Yes;Standard;Yes;Yes;Credit Card
1393;8449;7;19/04/2023;L;3.6;Yes;Express;Yes;Yes;Bank Transfer
1203;3082;3;20/04/2023;M;3.3;Yes;Next Day Air;Yes;Yes;Venmo
1359;6762;8;21/04/2023;M;3.4;Yes;Next Day Air;Yes;Yes;Credit Card
2236;4567;13;22/04/2023;M;3.5;Yes;2-Day Shipping;Yes;Yes;PayPal
1164;3861;7;23/04/2023;S;3.6;Yes;Express;Yes;Yes;Cash
2442;9678;2;24/04/2023;M;3.2;Yes;Free Shipping;Yes;Yes;Credit Card
3536;4161;8;25/04/2023;M;3.7;Yes;Standard;Yes;Yes;Venmo
1616;7725;9;26/04/2023;M;4.5;Yes;Standard;Yes;Yes;Cash
1518;2594;19;27/04/2023;M;4.6;Yes;Standard;Yes;Yes;Cash
848;1961;17;28/04/2023;L;4.1;Yes;Store Pickup;Yes;Yes;Bank Transfer
2542;4994;16;29/04/2023;L;3.4;Yes;Next Day Air;Yes;Yes;PayPal
